"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Akeelah and the Bee 2006" 22.704445 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" 8
"Agent Cody Banks 2003" 62.210701 2003 0 "Kids Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 25
"Across the Universe 2007" 27.917384 2007 0 "Historical Fiction" "Original Screenplay" "Live Action" "Musical" "PG-13" 45
"Accepted 2006" 43.754571 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"About Schmidt 2002" 85.184054 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 30
"About a Boy 2002" 55.410618 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 27
"Abandon 2002" 14.55694 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 25
"A Walk to Remember 2002" 55.986501 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" 11
"A Very Long Engagement 2004" 7.697074 2004 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 55
"A Sound of Thunder 2005" 2.328623 2005 0 "Science Fiction" "Fiction Source" "Live Action" "Azione" "PG-13" 80
"A Scanner Darkly 2006" 6.627134 2006 0 "Science Fiction" "Fiction Source" "Digital Animation" "Thriller/Suspense" "R" 20
"A Prairie Home Companion 2006" 24.504596 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"A Mighty Wind 2003" 23.007224 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 6
"A Mighty Heart 2007" 10.523958 2007 0 "Dramatization" "Fiction Source" "Live Action" "Drammatico" "R" 15
"A Man Apart 2003" 34.674128 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 36
"A Lot Like Love 2005" 26.877435 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 25
"à la folie... pas du tout 2003" 1.321315 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" NA
"A Knight s Tale 2001" 78.180653 2001 0 "Historical Fiction" "Original Screenplay" "Live Action" "Avventura" "PG-13" 41
"A Home at the End of the World 2004" 1.307397 2004 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 6.5
"A History of Violence 2005" 38.757976 2005 0 "Contemporary Fiction" "Comic/Graphic Novel" "Live Action" "Drammatico" "R" 32
"A Guy Thing 2003" 20.338487 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 20
"A Good Year 2006" 8.983806 2006 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 35
"A Dirty Shame 2004" 1.702094 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "NC-17" NA
"A Day Without a Mexican 2004" 5.311927 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"A Cinderella Story 2004" 65.344901 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 19
"A Beautiful Mind 2001" 232.491356 2001 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 78
"88 Minutes 2008" 18.605109 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 30
"8 Mile 2002" 158.411767 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 41
"8 Films to Die For 2006" 2.783403 2006 0 "Multiple Creative Types" "Other" "Live Action" "Horror" "Not Rated" NA
"8 femmes 2002" 4.177794 2002 0 "Contemporary Fiction" "Play" "Live Action" "Musical" "R" 8
"50 First Dates 2004" 153.450756 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 75
"40 Days and 40 Nights 2002" 51.522355 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 17
"4 luni, 3 saptamani si 2 zile 2007" 1.318064 2007 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" 0.9
"28 Days Later... 2003" 58.964195 2003 0 "Science Fiction" "Original Screenplay" "Live Action" "Horror" "R" 8
"Toy Story 3 2010" 415.00488 2010 1 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "G" 200
"Alice in Wonderland 2010" 334.191112 2010 0 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG" 200
"Iron Man 2 2010" 312.433333 2010 1 "Super Hero" "Comic/Graphic Novel" "Live Action" "Avventura" "PG-13" 170
"The Twilight Saga: Eclipse 2010" 300.531749 2010 1 "Fantasy" "Fiction Source" "Live Action" "Drammatico" "PG-13" 68
"Harry Potter and the Deathly Hallows: Part I 2010" 295.92051 2010 1 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG-13" 125
"Inception 2010" 292.576159 2010 0 "Science Fiction" "Original Screenplay" "Animation/Live Action" "Thriller/Suspense" "PG-13" 160
"Despicable Me 2010" 251.512418 2010 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Commedia" "PG" 69
"Shrek Forever After 2010" 238.736788 2010 1 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 165
"How to Train Your Dragon 2010" 217.581228 2010 0 "Fantasy" "Fiction Source" "Digital Animation" "Commedia" "PG" 165
"Tangled 2010" 200.655482 2010 0 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 260
"Tron: Legacy 2010" 171.857171 2010 1 "Science Fiction" "Original Screenplay" "Live Action" "Avventura" "PG" 200
"True Grit 2010" 170.816409 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Western" "PG-13" 35
"The Help 2010" 168.849566 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 25
"Clash of the Titans 2010" 163.214891 2010 0 "Fantasy" "Remake" "Live Action" "Azione" "PG-13" 125
"Grown Ups 2010" 162.001188 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 75
"Megamind 2010" 148.394536 2010 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 130
"Little Fockers 2010" 148.207267 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 100
"The King s Speech 2010" 138.213012 2010 0 "Dramatization" "Original Screenplay" "Live Action" "Drammatico" "R" 15
"The Last Airbender 2010" 131.772184 2010 0 "Fantasy" "TV" "Live Action" "Avventura" "PG" 150
"Super 8 2010" 126.36355 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 50
"The Other Guys 2010" 119.219975 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Salt 2010" 118.311371 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 130
"Jackass 3D 2010" 117.229083 2010 1 "Factual" "TV" "Live Action" "Commedia" "R" 20
"Horrible Bosses 2010" 116.945675 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Black Swan 2010" 106.656334 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 13
"Robin Hood 2010" 105.487146 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Azione" "PG-13" 210
"The Chronicles of Narnia: The Voyage of the Dawn Treader 2010" 104.298873 2010 0 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG" NA
"The Expendables 2010" 103.068522 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 82
"Just Go With It 2010" 102.508419 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Due Date 2010" 100.532447 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 65
"Yogi Bear 3D 2010" 100.072042 2010 0 "Kids Fiction" "TV" "Animation/Live Action" "Avventura" "PG" NA
"Gnomeo and Juliet 2010" 99.463423 2010 0 "Fantasy" "Play" "Digital Animation" "Commedia" "G" NA
"Date Night 2010" 98.711403 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 55
"The Green Hornet 2010" 98.281785 2010 0 "Super Hero" "TV" "Live Action" "Azione" "PG-13" 110
"The Social Network 2010" 96.943822 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 40
"Sex and the City 2 2010" 95.347691 2010 1 "Contemporary Fiction" "TV" "Live Action" "Commedia" "R" 95
"The Book of Eli 2010" 94.835062 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "R" 80
"The Fighter 2010" 93.378781 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 11
"The Town 2010" 92.1862 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 37
"Prince of Persia: Sands of Time 2010" 90.75968 2010 0 "Fantasy" "Game" "Live Action" "Azione" "PG-13" 200
"Red 2010" 90.375745 2010 0 "Contemporary Fiction" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 60
"Percy Jackson & the Olympians: The Lightning Thief 2010" 88.768299 2010 0 "Fantasy" "Fiction Source" "Live Action" "Avventura" "PG" 95
"Real Steel 2010" 85.032218 2010 0 "Science Fiction" "Fiction Source" "Live Action" "Azione" "PG-13" 110
"Paranormal Activity 2 2010" 84.752439 2010 1 "Fantasy" "Original Screenplay" "Live Action" "Horror" "R" 3
"Crazy, Stupid, Love 2010" 83.925717 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 50
"Battle: Los Angeles 2010" 83.130981 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 70
"The Descendants 2010" 82.020763 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Unstoppable 2010" 81.552373 2010 0 "Dramatization" "Real Life Events" "Live Action" "Azione" "PG-13" 95
"Eat Pray Love 2010" 80.574013 2010 0 "Contemporary Fiction" "Real Life Events" "Live Action" "Drammatico" "R" 60
"Dear John 2010" 80.014841 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 25
"Limitless 2010" 78.849709 2010 0 "Science Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG" 27
"The A-Team 2010" 77.222097 2010 0 "Contemporary Fiction" "TV" "Live Action" "Azione" "PG-13" 110
"Knight and Day 2010" 76.423037 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 117
"Moneyball 2010" 75.224128 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 50
"Dinner for Schmucks 2010" 73.026337 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG-13" 69
"Justin Bieber: Never Say Never 2010" 72.645621 2010 0 "Factual" "Real Life Events" "Live Action" "Concerto" "G" 13
"No Strings Attached 2010" 70.305794 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 25
"Mr. Poppers s Penguins 2010" 67.880321 2010 0 "Kids Fiction" "Fiction Source" "Live Action" "Avventura" "PG" 55
"The Tourist 2010" 67.565597 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" NA
"The Bounty Hunter 2010" 67.061229 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 45
"Diary of a Wimpy Kid 2010" 65.003627 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 15
"Unknown 2010" 63.365158 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" NA
"The Sorcerer s Apprentice 2010" 63.150992 2010 0 "Fantasy" "Other" "Animation/Live Action" "Avventura" "PG" 160
"A Nightmare on Elm Street 2010" 63.075011 2010 0 "Fantasy" "Remake" "Live Action" "Horror" "R" 35
"The Wolf Man 2010" 62.189887 2010 0 "Fantasy" "Remake" "Live Action" "Horror" "R" 150
"The Adjustment Bureau 2010" 62.180411 2010 0 "Science Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" NA
"Get Him to the Greek 2010" 61.153528 2010 0 "Contemporary Fiction" "Other" "Live Action" "Commedia" "R" 40
"Resident Evil: Afterlife 3D  2010" 60.093538 2010 1 "Science Fiction" "Game" "Live Action" "Horror" "R" 57.5
"The Tooth Fairy 2010" 60.02226 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Commedia" "PG" 48
"Secretariat 2010" 59.696253 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" 35
"Water for Elephants 2010" 58.413576 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" NA
"Easy A 2010" 58.401464 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 8
"The Lincoln Lawyer 2010" 57.716597 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 40
"Midnight in Paris 2010" 56.530075 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Commedia" "PG-13" 30
"Legend of the Guardians: The Owls of Ga Hoole 3D 2010" 55.67468 2010 0 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 100
"I am Number Four 2010" 54.822505 2010 0 "Science Fiction" "Fiction Source" "Live Action" "Avventura" "PG-13" NA
"Source Code 2010" 54.43625 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 32
"Insidious 2010" 53.736723 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Horror" "R" 1.5
"Life as We Know It 2010" 53.372213 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 38
"Letters to Juliet 2010" 53.032454 2010 0 "Contemporary Fiction" "Real Life Events" "Live Action" "Drammatico" "PG" 30
"Wall Street 2: Money Never Sleeps 2010" 52.474615 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 70
"Diary of a Wimpy Kid: Rodrick Rules 2010" 52.432719 2010 1 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 18
"Predators 2010" 52.000686 2010 1 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "R" 40
"Footloose 2010" 51.541441 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Musical" "PG-13" 24
"Ghost Rider: Spirit of Vengeance 2010" 50.497657 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" NA
"The Dilemma 2010" 48.230773 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 70
"Kick-Ass 2010" 48.0713 2010 0 "Contemporary Fiction" "Comic/Graphic Novel" "Live Action" "Azione" "R" 28
"Saw 3D 2010" 45.710178 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" NA
"Cats & Dogs: The Revenge of Kitty Galore 2010" 45.529442 2010 1 "Kids Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 85
"Cop Out 2010" 44.87548 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 37
"Hall Pass 2010" 44.833442 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Soul Surfer 2010" 43.853424 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" 18
"Edge of Darkness 2010" 43.313891 2010 0 "Contemporary Fiction" "TV" "Live Action" "Drammatico" "R" 60
"Death at a Funeral 2010" 42.739349 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "R" 21
"Gulliver s Travels 2010" 42.701966 2010 0 "Fantasy" "Fiction Source" "Animation/Live Action" "Commedia" "PG" 112
"Step Up 3D 2010" 42.400221 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"The Last Exorcism 2010" 41.034351 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "PG-13" 1.8
"Legion 2010" 40.168077 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 26
"Burlesque 2010" 39.432042 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 55
"The Crazies 2010" 39.123591 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "R" 19
"Something Borrowed 2010" 38.849532 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 35
"Scream 4 2010" 37.988338 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" NA
"For Colored Girls 2010" 37.729436 2010 0 "Contemporary Fiction" "Play" "Live Action" "Drammatico" "R" NA
"Big Mommas: Like Father, Like Son 2010" 37.724165 2010 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Red Riding Hood 2010" 37.47219 2010 0 "Fantasy" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" NA
"Paul 2010" 37.224231 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 40
"The Roommate 2010" 37.111956 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 16
"Vampires Suck 2010" 36.6615 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"The American 2010" 35.606379 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"Green Zone 2010" 35.497339 2010 0 "Historical Fiction" "Real Life Events" "Live Action" "Drammatico" "R" 100
"Larry Crowne 2010" 35.428633 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"A Very Harold & Kumar 3D Christmas 2010" 34.884175 2010 1 "Fantasy" "Original Screenplay" "Live Action" "Commedia" "R" 20
"Devil 2010" 33.679656 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" NA
"Marmaduke 2010" 33.64479 2010 0 "Kids Fiction" "Comic/Graphic Novel" NA "Commedia" "PG" 50
"The Rite 2010" 32.880936 2010 0 "Dramatization" "Real Life Events" "Live Action" "Horror" "PG-13" 37
"Arthur 2010" 32.868762 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG-13" NA
"Hereafter 2010" 32.746941 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 50
"When in Rome 2010" 32.680632 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Love and Other Drugs 2010" 32.361458 2010 0 "Contemporary Fiction" "Real Life Events" "Live Action" "Drammatico" "R" 30
"She s Out of My League 2010" 32.010858 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 20
"Hubble 3D 2010" 31.681403 2010 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" NA
"Scott Pilgrim vs. The World 2010" 31.611317 2010 0 "Contemporary Fiction" "Comic/Graphic Novel" "Live Action" "Commedia" "PG-13" 85
"Charlie St. Cloud 2010" 31.20626 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 44
"The Debt 2010" 31.020285 2010 0 "Historical Fiction" "Remake" "Live Action" "Thriller/Suspense" "R" 20
"Morning Glory 2010" 31.010462 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 40
"How Do You Know? 2010" 30.186532 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 120
"Daybreakers 2010" 30.101581 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Horror" "R" 20
"Nanny McPhee and the Big Bang 2010" 29.197639 2010 1 "Kids Fiction" "Fiction Source" "Live Action" "Avventura" "PG" 35
"Priest in 3D 2010" 28.989659 2010 0 "Fantasy" "Comic/Graphic Novel" "Live Action" "Horror" "PG-13" 60
"The Mechanic 2010" 28.974605 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Azione" "R" 42.5
"Abduction 2010" 27.945481 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 35
"The Switch 2010" 27.758464 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 19
"Machete 2010" 26.593647 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 12.5
"Winnie the Pooh 2010" 26.558206 2010 0 "Fantasy" "Fiction Source" "Hand Animation" "Avventura" "G" 30
"Ramona and Beezus 2010" 26.167004 2010 0 "Kids Fiction" "Fiction Source" "Live Action" "Commedia" "G" 15
"You Again 2010" 25.702054 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 20
"Alpha and Omega 3D 2010" 25.107266 2010 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 20
"Piranha 3D 2010" 25.003158 2010 0 "Science Fiction" "Remake" "Live Action" "Horror" "R" 24
"Lottery Ticket 2010" 24.719883 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 17
"Season of the Witch 2010" 24.701996 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 40
"Our Idiot Brother 2010" 24.689664 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 5
"Don t Be Afraid of the Dark 2010" 23.925384 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "R" 25
"The Losers 2010" 23.591431 2010 0 "Contemporary Fiction" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 25
"Sanctum 2010" 23.092239 2010 0 "Dramatization" "Real Life Events" "Live Action" "Avventura" "R" NA
"Monte Carlo 2010" 23.069816 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG" NA
"Your Highness 2010" 21.487508 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Skyline 2010" 21.416356 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 10
"The Darkest Hour 2010" 21.335333 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 34.8
"Dream House 2010" 21.194891 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "PG-13" 50
"Conan the Barbarian 3D 2010" 21.187609 2010 0 "Fantasy" "Fiction Source" "Live Action" "Azione" "R" 90
"The Next Three Days 2010" 21.148553 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "PG-13" 30
"The Kids Are All Right 2010" 20.811366 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 4
"The Three Musketeers 3D 2010" 20.271714 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Avventura" "PG-13" 90
"Our Family Wedding 2010" 20.255279 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Country Strong 2010" 20.117535 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 15
"Oceans 2010" 19.422316 2010 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" 80
"The Eagle 2010" 19.391734 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Azione" "PG-13" NA
"Remember Me 2010" 19.068236 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 16
"127 Hours 2010" 18.295379 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 18
"Fright Night 2010" 18.206349 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "R" 30
"Going the Distance 2010" 17.804298 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Furry Vengeance 2010" 17.630465 2010 0 "Kids Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 35
"Apollo 18 2010" 17.597714 2010 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 5
"Wanderlust 2010" 17.168632 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 32.5
"The Ghost Writer 2010" 15.541548 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" 45
"African Cats 2010" 15.350926 2010 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" NA
"Youth in Revolt 2010" 15.285589 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 18
"My Soul to Take 2010" 14.744438 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 25
"Repo Men 2010" 13.942009 2010 0 "Science Fiction" "Fiction Source" "Live Action" "Azione" "R" 32
"Warrior 2010" 13.588229 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 25
"Case 39 2010" 13.261851 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Horror" NA 27
"The Rum Diary 2010" 13.043685 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Let Me In 2010" 12.134938 2010 0 "Fantasy" "Remake" "Live Action" "Thriller/Suspense" "R" 20
"The Conspirator 2010" 11.480005 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 25
"Jane Eyre 2010" 11.185953 2010 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" NA
"Drive Angry 2010" 10.666957 2010 0 "Fantasy" "Original Screenplay" "Live Action" "Azione" "R" 50
"Jonah Hex 2010" 10.547115 2010 0 "Historical Fiction" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 47
"Straw Dogs 2010" 10.272362 2010 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "R" 25
"Win Win 2010" 10.179275 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Hoodwinked 2: Hood vs. Evil 2010" 10.092612 2010 1 "Kids Fiction" "Fiction Source" "Digital Animation" "Avventura" "PG" 30
"Prom 2010" 10.07912 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 8
"Blue Valentine 2010" 9.690246 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "NC-17" 1
"Fair*Game 2010" 9.53856 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" NA
"MacGruber 2010" 8.525603 2010 0 NA "TV" "Live Action" "Commedia" "R" NA
"Elle s appelait Sarah 2010" 7.652906 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" NA
"The Big Year 2010" 7.167797 2010 0 "Contemporary Fiction" "Real Life Events" "Live Action" "Commedia" "PG" NA
"Take Me Home Tonight 2010" 6.893122 2010 0 "Historical Fiction" "Original Screenplay" "Live Action" "Commedia" NA NA
"Incendies 2010" 6.857096 2010 0 "Contemporary Fiction" "Play" "Live Action" "Drammatico" "R" NA
"Cedar Rapids 2010" 6.826491 2010 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Conviction 2010" 6.797693 2010 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" NA 12.5
"City Island 2010" 6.671034 2010 0 NA NA NA "Commedia" "PG-13" 6
"The Last Station 2010" 6.617864 2010 0 "Dramatization" "Fiction Source" "Live Action" "Drammatico" "R" 18
"Winter s Bone 2010" 6.530064 2010 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 2
